sku;nama_produk;gambar;barcode;sni
ASMB-30;Baskom Mangkok Stainless Steel Mixing Bowl Tebal Food Grade 30 cm;;;
ASMB-30-40cm;Baskom Set 30-40;;;
ASMB-34;Baskom Mangkok Stainless Steel Mixing Bowl Tebal Food Grade 34 cm;;;
ASMB-36;Baskom Mangkok Stainless Steel Mixing Bowl Tebal Food Grade 36 cm;;;
ASMB-40;Baskom Mangkok Stainless Steel Mixing Bowl Tebal Food Grade 40 cm;;;
ASMJ-100;Milk Jug Stainless 1000 ml - Asta;;;
ASMJ-35;Milk Jug Stainless 350 ml - Asta;;;
ASMJ-60;Milk Jug Stainless 600 ml - Asta;;;
ASMM-12;Saringan Mie Stainless 12 cm - Asta;;;
ASMM-14;Saringan Mie Stainless 14 cm - Asta;;;
ASMM-18;Saringan Mie Stainless 18 cm - Asta;;;
ASMP-01;Mini Pots / Mini Stock Pots Panci Sop;;;
ASMU-01;Gilingan Serbaguna Multiuse Mincer;;;
ASNP-01;Noodle Pot Panci Susu / Panci Rebus / Milk Pot 18 cm;;;
ASNP-02;Noodle pot Panci Susu / Panci Rebus / Milk Pot 20 cm;;;
ASOC-01;Pelindung Percikan Minyak Oil Spatter 01;;;
ASOC-02;Pelindung Percikan Minyak Oil Spatter 02;;;
ASOC-03;Pelindung Percikan Minyak Oil Spatter 03;;;
ASOC-04;Pelindung Percikan Minyak Oil Spatter 04;;;
ASOW-01;Wajan Penggorengan Stainless Steel Oriental Wok 32 Cm;;;
ASOW-01+ASSA- 03B;oriental wok 32 + ASSA 03 B;;;
ASOW-02;Wajan Penggorengan Stainless Steel Oriental Wok 36 Cm;;;
ASOW-02+ASSA- 03B;oriental wok 36 + ASSA 03 B;;;
ASOW-03;Wajan Penggorengan Stainless Steel Oriental Wok 40 Cm;;;
ASOW-03+ASSA- 03B;oriental wok 40 + ASSA 03 B;;;
ASOW-05;Wajan Penggorengan Stainless Steel Oriental Wok 50 Cm;;;
ASOW-05+ASSA- 03B;oriental wok 50 + ASSA 03 B;;;
ASOW-06;Wajan Penggorengan Stainless Steel Oriental Wok 60 Cm;;;
ASOW-06+ASSA- 03B;oriental wok 60 + ASSA 03 B;;;
ASOW-26;ggorengan Stainless Steel Oriental;;;
ASOW-28;Wajan Penggorengan Stainless Steel Oriental Wok 28 cm;;;
ASOW-28+ASSA- 03B;oriental wok 28 + ASSA 03 B;;;
ASOW-30;Wajan Penggorengan Stainless Steel Oriental Wok 30 cm;;;
ASOW-30+ASSA- 03B;oriental wok 30 + ASSA 03 B;;;
ASPM-115AM;Gilingan Mie / Pasta Maker Ampia;;;?
ASPM-115RD;Gilingan Mie / Pasta Maker Red;;;?
ASPM-115SS;Gilingan Mie / Pasta Maker Stainless;;;?
ASPM-150;Gilingan Mie / Pasta Maker Jumbo;;;?
ASPS-01;Panci Set Marbello Panci Set Lengkap Anti Lengket;;;
ASPS01+CARD;Marbello Cookware Set + CARD - Asta;;;
ASPS-01B;Marbello Cookware Set Beige - Asta;;;
ASPS01B+CARD;Marbello Cookware Set Beige + CARD - Asta;;;
ASPS-02;Panci Set Lemona Panci Set Lengkap Anti Lengket;;;
ASPS02+CARD;Lemona Cookware Set + CARD - Asta;;;
ASPS-05;Panci Set Tokyo;;;
ASPS-05+CARD;7 pcs Tokyo Stainless Steel Cookware Set + CARD - Asta;;;
ASPS-07PK;Panci Set Valentina Panci Set Lengkap Anti Lengket PINK;;;
ASPS07PK+CARD;Valentina 3 pcs Cookware Set Pink + CARD - Asta;;;
ASPS-07PR;Panci Set Valentina Panci Set Lengkap Anti Lengket Purple;;;
ASPS07PR+CARD;Valentina 3 pcs Cookware Set Purple + CARD - Asta;;;
ASPS-08;Panci Set Cappucino Panci Set Lengkap Anti Lengket;;;
ASPS-09;Panci Set New Kiwiz Panci Set Lengkap Anti Lengket;;;
ASPS09+CARD;"New Kiwiz 7 Pieces Cookware Set
+ CARD - Asta";;;
ASPS-10;Panci Set Marbello Rosie Panci Set Lengkap Anti Lengket;;;
ASPS10+CARD;"Marbello Rosie 4 pcs Cookware Set
+ CARD - Asta";;;
ASPS-11;Panci Set Marbello Fiesta Panci Set Lengkap Anti Lengket;;;
ASPS-12;Panci Set Valentina Milan Panci Set Lengkap Anti Lengket;;;
ASPS12+CARD;"Valentina Milan 7 pcs Cookware Set
+ CARD  - Asta";;;
ASPS-15;Panci Set Lemona 100 Panci Set Lengkap Anti Lengket;;;
ASPS15+CARD;"Lemona 100"" 5 pcs Cookware Set
+CARD - Asta";;;
ASPS-16;Panci Set Tempura Panci Set Lengkap Anti Lengket;;;
ASPU-01;Spons Mandi / Shower Puff;;;?
ASRB-01;Rak Kayu / Rak Bumbu Dapur Dari Kayu;;;
ASSA-01A;"Spatula Sutil sodet Stainless
Steel Motif Marble";;;
ASSA-01B;Spatula Sutil sodet kipas Stainless Steel Motif Marble;;;
ASSA-01C;Sendok irus soup ladle Stainless Steel Motif Marble;;;
ASSA-01D;Sendok Irus Skimmer Stainless Steel Motif Marble;;;
ASSA-02A;Spatula Sutil sodet Stainless Steel Motif Hitam;;;
ASSA-02B;Spatula Sutil sodet kipas Stainless Steel Motif Hitam;;;
ASSA-02C;Sendok irus soup ladle Stainless Steel Motif Hitam;;;
ASSA-02D;Sendok Irus Skimmer Stainless Steel Motif Hitam;;;
ASSA-03A;Spatula Sutil sodet Stainless Steel Motif Coklat;;;
ASSA-03B;Spatula Sutil sodet kipas Stainless Steel Motif Coklat;;;
ASSA-03C;Sendok irus soup ladle Stainless Steel Motif Coklat;;;
ASSA-03D;Sendok Irus Skimmer Stainless Steel Motif Coklat;;;
ASSA-04A;Solid Turner Wooden Handle - Asta;;;
ASSA-04C;Soup Laddle Wooden Handle - Asta;;;
ASSA-05L;Teppan Spatula Lebar L - Asta;;;
ASSA-05M;Teppan Spatula Lebar M - Asta;;;
ASSA-06L;Teppan Spatula Panjang L - Asta;;;
ASSA-06M;Teppan Spatula Panjang M - Asta;;;
ASSA-07;Cake Scrapper - Asta;;;
ASSB-06BL;Toples Snack Cantik La Bella Toples Plastik Tebal BLUE;;;?
ASSB-06PK;Toples Snack Cantik La Bella Toples Plastik Tebal PINK;;;?
ASSC-14;Saos Stainless Steel Sauce Contain;;;
ASSC-16;Saos Stainless Steel Sauce Contain;;;
ASSC-18;Saos Stainless Steel Sauce Contain;;;
ASSL-01BL;Silicone Soup Ladle - Blue - Asta;;;?
ASSL-01PK;Silicone Soup Ladle - Pink - Asta;;;?
ASSP-01;Stock Pot Steamer 01 Panci Sop Besar;;;
ASSP-02;Stock Pot 02;;;
ASSP-03;Stock Pot European Style 03 Panci Sop Besar;;;
ASSP-04;Steamer Pot 2 Susun - Asta;;;
ASSR-304;Kukusan Steamer Stainless Steel 304;;;
ASSS-01BL;Spatula Silicone Set BLUE;;;?
ASSS-01PK;Spatula Silicone Set PINK;;;?
ASTS-01BL;Silicone Turner Spatula - Blue - Asta;;;?
ASTS-01PK;Silicone Turner Spatula - Pink - Asta;;;?
ASTW-01;Timer Watch - Asta;;;?
ASWA-01;Spons Cuci Piring Kuning 1 pc;;;?
ASWA-016PCS;Spons Cuci Piring Kuning 6 pcs;;;?
ASWA-02;Spons Cuci Piring Abu-Abu;;;?
ASWA-026PCS;Pisau daging 026PCS;;;?
ASWA-036pcs;Spons Cuci Stock Pot 6 pcs;;;?
ASWK-01;Teko / Ketel / Ceret Air Food Grade Valentina Whistling Kettle;;;
ASWK-02BL;Teko / Ketel / Ceret Air Food Grade Valentina Whistling Kettle Handle Kayu BIRU;;;
ASWK-02PK;Teko / Ketel / Ceret Air Food Grade Valentina Whistling Kettle Handle Kayu PINK;;;
ASWK-02PR;"Teko / Ketel / Ceret Air Food Grade Valentina Whistling Kettle Handle Kayu
UNGU";;;
ASWK-03BM;"Teko / Ketel / Ceret Air Food Grade Valentina Whistling Kettle Marble Handle
Kayu BLACK";;;
